Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,Category
WHULuoJiaTeam/luojianet,https://github.com/WHULuoJiaTeam/luojianet,FALSE,5/24/2022 7:44,[],96,8,25,1,4,C++,231307,1,0,3,7,93,0,0,0,
smashse/iac-public,https://github.com/smashse/iac-public,FALSE,5/12/2020 19:59,"['pulumi', 'infrastructure', 'terraform', 'devops', 'iac', 'hcl', 'python']",13,0,7,0,1,HCL,124,0,0,1,0,81,0,0,0,
markleybros/yer-face,https://github.com/markleybros/yer-face,FALSE,10/28/2017 15:41,"['performance-capture', 'cartoon-animation', 'lip-sync', 'yerface']",24,3,6,5,1,C++,984,0,0,2,5,484,0,0,0,
ipspace/blog,https://github.com/ipspace/blog,FALSE,7/23/2021 18:22,[],11,3,0,0,2,HTML,154026,0,0,2,0,856,0,0,0,
shibei00/Cross-Lingual-Topic-Model,https://github.com/shibei00/Cross-Lingual-Topic-Model,FALSE,10/25/2017 7:06,"['topic-modeling', 'python', 'bilingual']",13,3,0,0,1,Roff,8695,0,0,1,0,13,0,0,0,
rarible/sdk,https://github.com/rarible/sdk,FALSE,10/5/2021 10:00,[],61,18,27,1,12,TypeScript,9006,12,3,26,322,928,1,0,0,
MCZhi/Expert-Prior-RL,https://github.com/MCZhi/Expert-Prior-RL,FALSE,9/15/2021 8:20,['deep-reinforcement-learning'],30,1,4,0,1,Python,264622,2,0,2,0,86,0,0,57,
strin/cbt-model,https://github.com/strin/cbt-model,FALSE,4/13/2016 3:14,[],10,3,6,0,1,Python,43,0,0,1,0,19,0,0,0,
fayola21/farsec,https://github.com/fayola21/farsec,FALSE,12/2/2016 15:25,[],5,2,4,0,1,Clojure,134380,0,0,1,0,30,0,0,0,
Teamxrtc/webrtc-streaming-node,https://github.com/Teamxrtc/webrtc-streaming-node,FALSE,12/10/2015 18:55,[],6,4,5,0,1,C++,131201,2,1,1,0,2,0,0,0,
AnanyaKumar/transfer_learning,https://github.com/AnanyaKumar/transfer_learning,FALSE,11/24/2020 19:54,[],21,6,3,0,1,Python,5177,0,0,2,0,56,0,0,0,
NVIDIA/deepops,https://github.com/NVIDIA/deepops,FALSE,5/24/2018 22:59,[],870,51,267,18,57,Shell,19328,20,4,15,21,3683,5,0,0,
