Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
jacopotagliabue/post-modern-stack,https://github.com/jacopotagliabue/post-modern-stack,False,2022-04-13 20:44:15,"['dbt', 'metaflow', 'mlops', 'recommender-system', 'sagemaker']",121,2,14,0,2,Python,1213,0,0,1,0,19,0,0,0
CharlieDinh/DONE,https://github.com/CharlieDinh/DONE,False,2020-07-13 04:37:39,"['federated-edge-learning', 'second-order-optimization', 'done', 'federated-learning', 'pytorch']",15,1,1,0,3,Jupyter Notebook,61634,1,0,2,0,206,0,0,0
jhonatanoliveira/dcspns,https://github.com/jhonatanoliveira/dcspns,False,2019-02-14 19:05:11,[],7,2,2,0,1,Python,1068,0,0,1,0,5,0,0,0
CharlieDinh/FedU_FMTL,https://github.com/CharlieDinh/FedU_FMTL,False,2020-11-10 00:25:25,[],19,2,5,0,2,Python,11296,0,0,1,0,164,0,0,0
zwcolin/Domain-Robustness-Prompt-Tuning,https://github.com/zwcolin/Domain-Robustness-Prompt-Tuning,False,2021-11-01 17:19:34,"['nlp', 't5', 'prompt-tuning', 'question-answering', 'squad']",11,2,1,0,3,Python,14608,0,0,5,0,78,0,0,8
dahiyaaneesh/Handposeestimation,https://github.com/dahiyaaneesh/Handposeestimation,False,2021-05-15 09:42:05,"['hand-pose-estimation', 'self-supervised-learning', 'contrastive-learning', 'computer-vision', 'paper']",6,2,1,0,1,Jupyter Notebook,515,0,0,1,0,1,0,0,0
microsoft/LoRA,https://github.com/microsoft/LoRA,False,2021-06-18 02:16:35,"['gpt-2', 'adaptation', 'language-model', 'gpt-3', 'low-rank', 'pytorch', 'deep-learning', 'roberta', 'deberta']",333,10,37,4,5,Python,32577,14,9,13,4,20,0,0,0
thu-coai/Emotional-Support-Conversation,https://github.com/thu-coai/Emotional-Support-Conversation,False,2021-05-26 13:42:05,[],117,6,23,0,1,Python,73910,3,0,1,0,12,0,0,0
gradio-app/gradio,https://github.com/gradio-app/gradio,False,2018-12-19 08:24:04,"['machine-learning', 'models', 'ui', 'ui-components', 'interface', 'python', 'data-science', 'data-visualization', 'deep-learning', 'data-analysis', 'gradio', 'gradio-interface', 'python-notebook', 'deploy']",10659,84,663,60,96,Python,158430,255,11,72,60,4547,5,0,957
SungFeng-Huang/SSL-pretraining-separation,https://github.com/SungFeng-Huang/SSL-pretraining-separation,False,2020-12-08 07:41:45,[],46,1,8,0,1,Python,94,0,0,1,0,41,0,0,0
PacktPublishing/Comet-for-Data-Science,https://github.com/PacktPublishing/Comet-for-Data-Science,False,2022-01-24 16:35:46,[],40,5,16,0,4,Jupyter Notebook,30250,0,0,1,0,42,0,0,0
fazaghifari/BayesianOptTools,https://github.com/fazaghifari/BayesianOptTools,False,2019-02-08 02:46:17,"['predictive-modeling', 'optimization', 'multi-objective', 'machine-learning', 'uncertainty-quantification']",7,1,7,0,3,Python,22820,0,0,2,0,118,0,0,0
keyonvafa/sequential-rationales,https://github.com/keyonvafa/sequential-rationales,False,2021-08-28 21:54:19,[],32,3,2,0,1,Python,16947,0,0,1,0,43,0,0,0
Ascend/ModelZoo-PyTorch,https://github.com/Ascend/ModelZoo-PyTorch,False,2022-04-20 04:11:18,[],8,6,5,0,232,Python,59051,2,1,2,4,3299,0,0,0
vict0rsch/LiSS,https://github.com/vict0rsch/LiSS,False,2020-03-27 16:11:04,[],7,3,3,0,2,Python,1407,1,0,1,0,8,0,0,0
HLTCHKUST/Perplexity-FactChecking,https://github.com/HLTCHKUST/Perplexity-FactChecking,False,2021-04-22 06:40:47,[],8,6,1,0,2,Python,2760,0,0,1,0,16,0,0,0
weecology/DeepLidar,https://github.com/weecology/DeepLidar,False,2018-11-13 21:47:48,[],44,11,11,6,1,Python,211762,3,0,2,6,1159,0,0,0
joeybose/Flexible-Fairness-Constraints,https://github.com/joeybose/Flexible-Fairness-Constraints,False,2018-09-17 02:50:02,[],42,4,17,0,2,Python,153,2,0,2,0,27,0,0,0
omri374/moda,https://github.com/omri374/moda,False,2018-08-14 20:35:37,"['anomaly-detection', 'time-series', 'trending-topics']",31,2,14,0,1,Jupyter Notebook,13526,0,0,2,0,90,0,0,0
tayalmanan28/Safe_Reinforcement_Learning,https://github.com/tayalmanan28/Safe_Reinforcement_Learning,False,2022-01-30 11:53:59,"['robotics', 'reinforcement-learning', 'safe-reinforcement-learning', 'pytorch', 'control', 'deep-learning', 'iisc', 'machine-learning', 'safety-critical']",7,1,0,0,1,Python,2785,0,0,1,0,17,0,0,2
RobinBruegger/PartiallyReversibleUnet,https://github.com/RobinBruegger/PartiallyReversibleUnet,False,2019-06-10 10:20:30,[],92,6,15,0,1,Python,28,2,0,1,0,6,0,0,0
bhagvank/NoCodeAIML,https://github.com/bhagvank/NoCodeAIML,False,2021-10-01 19:36:30,[],5,3,4,0,2,Python,182638,1,1,4,0,15,1,0,0
ceyzaguirre4/DACT-MAC,https://github.com/ceyzaguirre4/DACT-MAC,False,2020-04-27 12:49:00,[],14,3,3,0,1,Python,28,0,0,1,0,7,0,0,0
Jungjee/dcase2019specialistkd,https://github.com/Jungjee/dcase2019specialistkd,False,2019-07-19 09:03:47,[],5,2,4,0,1,Python,431,0,0,1,0,22,0,0,0
ZENGXH/NPDRAW,https://github.com/ZENGXH/NPDRAW,False,2021-03-07 09:00:15,"['generative-model', 'image-generation', 'pytorch', 'vae', 'draw', 'npdraw']",22,2,2,0,1,Python,53887,0,0,1,0,22,0,0,18
weiji14/deepbedmap,https://github.com/weiji14/deepbedmap,False,2018-09-06 00:28:32,"['super-resolution', 'digital-elevation-model', 'deep-neural-network', 'data-science', 'antarctica', 'flat-file-db', 'glaciology', 'generative-adversarial-network', 'jupyter-notebook', 'chainer', 'remote-sensing', 'optuna', 'bedmap', 'pangeo', 'binder']",34,4,23,13,5,Jupyter Notebook,177452,4,2,3,14,509,4,0,0
jpata/particleflow,https://github.com/jpata/particleflow,False,2019-09-24 17:45:55,[],15,4,25,3,7,Python,146068,7,2,8,5,896,0,0,0
borglab/gtsam,https://github.com/borglab/gtsam,False,2017-03-27 17:12:06,[],1695,56,567,13,136,C++,68646,95,17,126,40,15257,54,0,4
etzinis/fedenhance,https://github.com/etzinis/fedenhance,False,2021-05-10 21:58:49,[],32,4,3,0,2,Jupyter Notebook,17831,0,0,2,0,105,0,0,0
vermaMachineLearning/Universal-Graph-Embedding-Neural-Network,https://github.com/vermaMachineLearning/Universal-Graph-Embedding-Neural-Network,False,2019-12-03 01:28:32,[],38,3,12,0,1,Python,33,2,0,1,0,10,0,0,0
pseeth/cookiecutter-nussl,https://github.com/pseeth/cookiecutter-nussl,False,2019-11-18 18:42:37,[],5,4,1,0,3,Jupyter Notebook,10878,18,11,12,0,163,0,0,62
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,False,2018-08-20 07:56:13,"['deep-learning', 'reinforcement-learning', 'machine-learning', 'computer-vision', 'pytorch', 'python', 'distributed-computing', 'infrastructure', 'research', 'reproducibility', 'image-processing', 'image-classification', 'image-segmentation', 'object-detection', 'natural-language-processing', 'text-classification', 'text-segmentation', 'information-retrieval', 'recommender-system', 'metric-learning']",3032,44,373,41,97,Python,54739,8,3,8,109,1698,1,0,421
lppllppl920/SAGE-SLAM,https://github.com/lppllppl920/SAGE-SLAM,False,2022-02-06 01:08:32,"['slam', 'differentiable-optimization', 'representation-learning', 'factor-graph', 'endoscopy', 'deep-learning', '3d-reconstruction']",56,3,5,0,1,C++,79939,1,0,1,0,55,0,0,0
adymaharana/storydalle,https://github.com/adymaharana/storydalle,False,2022-07-20 16:42:47,[],236,7,20,0,1,Python,7479,2,0,1,0,34,0,0,0
