Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
rktamplayo/AutoSense,https://github.com/rktamplayo/AutoSense,False,2018-11-02 15:55:55,[AAAI2019] AutoSense Model for Word Sense Induction,"['word-sense-induction', 'word-sense-disambiguation', 'word-sense', 'topic-modeling', 'topic-models', 'topic-model', 'latent-dirichlet-allocation']",13,2,5,0,1,Java,5302,0,0,1,0,5,0,0,0
rajammanabrolu/StoryRealization,https://github.com/rajammanabrolu/StoryRealization,False,2019-08-20 21:18:23,,[],28,1,9,0,2,Python,3981,1,0,1,0,5,0,0,0
stanfordnlp/color-describer,https://github.com/stanfordnlp/color-describer,False,2016-06-10 08:08:54,Code for Learning to Generate Compositional Color Descriptions,[],26,14,18,0,2,OpenEdge ABL,5414,0,0,1,0,355,0,0,0
Bowie-State-University/CS-Courses,https://github.com/Bowie-State-University/CS-Courses,False,2015-12-18 02:48:49,Courses that Dr. Xu teaches,[],11,2,17,0,1,C++,1159951,0,0,1,0,54,0,0,0
utopia-group/regel,https://github.com/utopia-group/regel,False,2020-03-27 23:19:16,REGEL: Regular Expression Generation from Examples and Language,[],30,9,7,0,2,Java,11451,2,0,3,0,23,0,0,0
laem/trottoirs-de-paris,https://github.com/laem/trottoirs-de-paris,False,2015-03-30 22:05:08,Parisian sidewalks,[],12,4,0,0,1,CartoCSS,2897,0,0,2,0,62,0,0,4
proywm/CCProf,https://github.com/proywm/CCProf,False,2017-11-06 17:14:59,CCProf: Lightweight Detection of Cache Conflicts,"['ccprof', 'cache-conflict', 'cache', 'cache-miss', 'cache-optimization', 'profile-guided-optimization', 'pebs', 'conflict-miss']",23,4,1,0,1,C,128980,2,0,2,0,47,0,0,0
Shuailong/BlamePipeline,https://github.com/Shuailong/BlamePipeline,False,2018-05-13 14:51:37,Blame Tie Extraction Task codebase,"['relation-extraction', 'blame']",5,3,3,0,1,Python,4348,1,0,1,0,48,0,0,0
xnancy/russ,https://github.com/xnancy/russ,False,2020-10-07 00:27:34,,[],10,4,4,0,4,Python,17878,0,0,1,0,124,0,0,0
prateekagrawaliiit/100-Days-of-ML,https://github.com/prateekagrawaliiit/100-Days-of-ML,False,2020-08-22 17:36:27,The following repository contains source code for a 100 Day personal machine learning coding challenge. It contains projects that I do as a part of my learning,"['dataset', 'titanic-dataset', 'optuna', 'randomforestclassifier', 'prediction']",11,1,6,0,1,Jupyter Notebook,55631,0,0,2,0,65,0,0,0
p-lambda/swords,https://github.com/p-lambda/swords,False,2021-05-19 20:18:06,The Stanford Word Substitution (Swords) Benchmark,"['swords', 'benchmark', 'nlp', 'lexical-substitution', 'writing-assistant']",25,15,2,0,2,Python,135558,2,1,1,0,21,0,0,0
p-lambda/robust_tradeoff,https://github.com/p-lambda/robust_tradeoff,False,2020-08-14 01:13:47,"Code for the ICML 2020 paper ""Understanding and Mitigating the Tradeoff Between Robustness and Accuracy"", Aditi Raghunathan, Sang Michael Xie, Fanny Yang, John Duchi, and Percy Liang. Paper available at https://arxiv.org/pdf/2002.10716.pdf. ","['adversarial-examples', 'robustness', 'tradeoff']",5,4,0,0,1,Python,774,0,0,1,0,2,0,0,0
webosose/chromium53,https://github.com/webosose/chromium53,False,2018-03-13 06:22:54,Open source Chromium project used by webOS,"['webos', 'webosose']",8,8,19,0,27,,1750036,0,0,3,20,124,0,0,0
wa3dbk/ScribeSalad,https://github.com/wa3dbk/ScribeSalad,False,2018-12-01 00:10:03,"A collection of YouTube videos transcripts : Podcasts (Joe Rogan Experience, Tim Ferris, Jocko podcast, ..), lectures (YaleCourses, MIT lectures, Jordan B. Peterson talks, ..). A big transcripts salad spanning history, geography, science, politics, film making and more.","['youtube-video', 'youtube-videos-transcripts', 'joe-rogan-experience', 'jordan-b-peterson', 'artificial-intelligence', 'history', 'social-issues', 'politics', 'yalecourses', 'science', 'video', 'multilingual', 'transcripts']",43,8,24,0,1,,10963400,2,2,2,0,2241,0,0,0
pointpillars-on-openvino/pointpillars-on-openvino,https://github.com/pointpillars-on-openvino/pointpillars-on-openvino,False,2021-11-12 06:40:42,,[],7,0,3,0,1,C++,56264,0,0,1,0,12,0,0,0
OpenLiberty/open-liberty,https://github.com/OpenLiberty/open-liberty,False,2017-09-15 19:34:25,"Open Liberty is a highly composable, fast to start, dynamic application server runtime environment ",['hacktoberfest'],1018,36,519,53,244,Java,851815,2285,499,271,339,31639,25,0,0
benjmarshall/hlsclt,https://github.com/benjmarshall/hlsclt,False,2017-06-12 11:15:35,A Vivado HLS Command Line Helper Tool,"['high-level-synthesis', 'python', 'vivado-hls', 'fpga']",35,4,11,8,2,Python,64,8,4,4,8,85,0,0,0
compomics/searchgui,https://github.com/compomics/searchgui,False,2015-08-21 21:31:39,Highly adaptable common interface for proteomics search and de novo engines,"['proteomics', 'protein-identification', 'bioinformatics', 'java']",25,18,17,0,7,Java,667039,10,0,5,0,932,1,0,0
runebookdev/runebook,https://github.com/runebookdev/runebook,False,2020-02-10 07:35:29,runebook translate,"['runebook', 'translations', 'i18n', 'documentation']",106,3,19,0,1,,3628118,529,0,1,0,3813,0,0,0
dodger487/scrape_hn,https://github.com/dodger487/scrape_hn,False,2017-05-13 20:17:05,Scraping HN for TaggerNews,[],51,6,9,0,2,Shell,151560,0,0,1,0,73,2,0,0
lyeoni/KorQuAD,https://github.com/lyeoni/KorQuAD,False,2019-06-05 07:42:22,KorQuAD (Korean Question Answering Dataset) submission guide using PyTorch pretrained BERT,"['korquad', 'bert', 'pytorch', 'question-answering', 'machine-reading-comprehension']",31,1,9,0,1,Python,1414,0,0,1,0,30,0,0,0
40ants/hacrm,https://github.com/40ants/hacrm,False,2017-08-16 19:58:04,Hacker's CRM – Emacs in the world of CRMs.,"['lisp', 'common-lisp', 'crm', 'plugins']",4,3,0,0,1,Common Lisp,5379,1,0,1,0,100,0,0,0
stanford-cs324/winter2022,https://github.com/stanford-cs324/winter2022,False,2021-12-23 18:01:23,Website,[],6,2,2,0,4,Python,19938,0,0,4,0,162,0,0,132
cliqz-oss/keyvi,https://github.com/cliqz-oss/keyvi,False,2015-07-14 21:25:01,Keyvi - a key value index that powers Cliqz search engine. It is an in-memory FST-based data structure highly optimized for size and lookup performance.,"['python', 'cpp', 'search', 'data-structures', 'fst', 'big-data']",176,20,37,43,8,C++,27577,10,1,3,44,826,0,0,73
mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,False,2020-02-11 08:43:48,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios.",[],3176,149,594,0,92,C++,666319,123,17,19,28,55621,0,0,0
stanfordnlp/wge,https://github.com/stanfordnlp/wge,False,2018-02-20 23:32:48,Workflow-Guided Exploration: sample-efficient RL agent for web tasks,[],82,13,33,0,2,Python,4271,3,0,3,0,11,0,0,10
moparisthebest/forum.moparisthebest.com,https://github.com/moparisthebest/forum.moparisthebest.com,False,2019-09-11 22:54:31,,[],6,3,9,0,1,,1138596,0,0,1,0,2,0,0,0
hpcc-systems/helm-chart,https://github.com/hpcc-systems/helm-chart,False,2020-03-20 12:09:07,Helm charts for deploying HPCC under k8s,[],7,10,22,0,4,Smarty,60159,1,1,5,98,692,0,0,692
panosmdma/SlackOnly-SlackBuilds,https://github.com/panosmdma/SlackOnly-SlackBuilds,False,2016-01-07 17:11:29,,[],8,4,1,0,211,Shell,98504,0,0,2,0,57866,0,0,0
fletcherjiang/ssm-alipay,https://github.com/fletcherjiang/ssm-alipay,False,2020-04-19 10:49:09,将微信支付和支付宝支付集成到ssm项目中,[],13,4,110,0,1,C++,25572,0,0,2,0,689,0,0,0
taolusi/chisp,https://github.com/taolusi/chisp,False,2019-08-14 06:56:03,scripts and baselines for CSpider: Chinese semantic parsing and text-to-SQL challenge,[],103,8,11,0,1,Python,43,3,0,1,0,5,0,0,0
eugeneia/athens,https://github.com/eugeneia/athens,False,2018-08-15 11:59:11,News analysis tool for scholars,[],6,1,0,0,1,Common Lisp,4821,0,0,2,1,69,0,0,0
jeffpar/kbarchive,https://github.com/jeffpar/kbarchive,False,2017-10-18 19:26:28,Microsoft KnowledgeBase Archive,[],244,22,54,0,2,,436147,4,3,4,0,41,0,0,24
RapidsAtHKUST/CommunityDetectionCodes,https://github.com/RapidsAtHKUST/CommunityDetectionCodes,False,2016-12-26 03:07:29,Some overlapping community detection algorithms (Until 2016). by Yulin Che (https://github.com/CheYulin) for the PhD qualification exam (survey on community detection algorithms),"['survey', 'community-detection-algorithm', 'graph-input-benchmark', 'quality-evaluation-metrics', 'codes-refactoring', 'dataset-summary']",180,17,93,0,1,C++,53347,5,2,1,0,240,0,0,0
sayakpaul/TF-2.0-Hacks,https://github.com/sayakpaul/TF-2.0-Hacks,False,2019-05-09 15:41:39,Contains my explorations of TensorFlow 2.x,"['tensorflow-2', 'neural-networks', 'deep-learning']",383,26,84,0,1,Jupyter Notebook,32475,0,0,3,0,162,0,0,0
cea-hpc/modules,https://github.com/cea-hpc/modules,False,2017-03-14 05:10:41,Environment Modules: provides dynamic modification of a user's environment,"['environment', 'module', 'modulefiles', 'tcl', 'shell', 'hpc', 'environment-modules', 'hacktoberfest']",497,34,83,31,27,Tcl,18722,27,1,7,41,4853,5,0,61
