Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
PaulEmmanuelSotir/DeepCV,https://github.com/PaulEmmanuelSotir/DeepCV,False,2020-03-04 21:28:06,"Vision framework which brings a more robust, Deep Learning-based approach to some usual OpenCV use cases","['deep-learning', 'kedro', 'opencv', 'machine-learning', 'python', 'vision', 'vision-framework', 'mlflow', 'pytorch', 'tensorboardx', 'neural-network-intelligence', 'template-project']",6,4,2,0,2,Python,1704,0,0,2,0,172,0,0,0
microsoft/bigcarp,https://github.com/microsoft/bigcarp,False,2022-07-18 21:02:28,Masked language models of biosynthetic gene clusters,[],9,3,0,0,3,Python,27,0,0,1,0,12,0,0,0
AISaturdaysLagos/cohort7_practicals,https://github.com/AISaturdaysLagos/cohort7_practicals,False,2021-09-03 20:59:40,This houses all the practicals materials for cohort 7,[],18,4,30,0,8,Jupyter Notebook,11225,0,0,2,0,108,0,0,0
tudelft/ssl_e2vid,https://github.com/tudelft/ssl_e2vid,False,2021-04-12 12:27:08,,[],37,13,11,0,1,Python,15871,3,0,1,0,3,0,0,0
scaleoutsystems/workshop-intro-to-fedn,https://github.com/scaleoutsystems/workshop-intro-to-fedn,False,2021-05-05 15:11:26,,[],5,3,0,0,2,Jupyter Notebook,66,0,0,1,0,12,0,0,0
RausellLab/Tiresias,https://github.com/RausellLab/Tiresias,False,2019-06-28 14:50:07,Computational framework for disease gene prediction through supervised learning on multiplex biological networks,[],5,2,1,0,3,Python,1962,0,0,3,0,57,0,0,0
microsoft/BackwardCompatibilityML,https://github.com/microsoft/BackwardCompatibilityML,False,2020-07-09 20:14:52,Project for open sourcing research efforts on Backward Compatibility in Machine Learning,[],63,8,11,6,3,HTML,20903,35,4,36,7,48,0,0,0
m30m/gnn-explainability,https://github.com/m30m/gnn-explainability,False,2020-12-10 14:41:17,,[],9,2,0,0,1,Jupyter Notebook,508,0,0,2,0,88,0,0,0
dornasabet/DCGANFER,https://github.com/dornasabet/DCGANFER,False,2021-11-12 11:48:35,,[],5,1,0,0,1,Python,4,0,0,1,0,6,0,0,0
NivedhanSenthilkumar/AllReusableScripts,https://github.com/NivedhanSenthilkumar/AllReusableScripts,False,2021-11-16 11:34:38,,[],6,1,3,0,1,Python,160,0,0,1,0,194,0,0,0
talipucar/BYOL,https://github.com/talipucar/BYOL,False,2021-01-11 12:04:31,"Pytorch implementation of the paper, ""Bootstrap Your Own Latent A New Approach to Self-Supervised Learning"", or BYOL, https://arxiv.org/pdf/2006.07733v3.pdf","['self-supervised', 'self-supervised-learning', 'pytorch', 'byol', 'byol-pytorch']",5,1,1,0,2,Python,27961,0,0,1,0,8,0,0,0
MicrosoftLearning/mslearn-dp100,https://github.com/MicrosoftLearning/mslearn-dp100,False,2020-11-25 16:22:55,Lab files for Azure Machine Learning exercises,[],479,28,523,0,17,Jupyter Notebook,1025,0,0,2,0,192,1,0,134
