Repo,Error
herrnst/dddvb-linux-kernel,Unrelevant
renoir-development/android_kernel_xiaomi_sm8350,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
linux-surface/kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
jjpprrrr/kernel_xiaomi_venus,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
moto-sm7250/android_kernel_motorola_sm7250,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
OpenChannelSSD/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
PixelExperience-Devices/kernel_xiaomi_cepheus,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
ssrg-vt/popcorn-kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
alx/cablegate,Unrelevant
debugger22/Jarvis,Unrelevant
codenside/chatbot,Unrelevant
jpirko/linux_mlxsw,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
arter97/caf_msm-4.19,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
freedesktop/drm-misc,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
Venji10/linux-beryllium,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
silont-project/kernel_xiaomi_vayu,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
Linaro/linux-kernel-uadk,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
raspberrypi/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
shiavault/shiavault-library,Unrelevant
etsy/etsy.github.com,Unrelevant
jiangqn/aspect_extraction,Unrelevant
ifreitas/brain,Unrelevant
lazerl0rd/tryme_redbull,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
AOSPA/android_kernel_xiaomi_laurel_sprout,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
stormbreaker-project/kernel_xiaomi_ginkgo,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
kristofpetho/kernel_oneplus_sm8350,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
superkley/udacity-aind,Unrelevant
huayuguo/stm32h743-linux-eth-usb,Unrelevant
rickliu2000/linux_nokia_msm8974,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
encorehu/django-buddy,Unrelevant
Charlotte-Kosche-Thesis/patreon-scraper,Unrelevant
LineageOS/android_kernel_xiaomi_sm8150,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
hhdang6637/embedded_linux_skeleton,Unrelevant
DanielOgorchock/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
cosimoiaia/pyAiml-2.0,Unrelevant
vu-aml/adlib,Unrelevant
googlestadia/kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
chenhuacai/linux,Unrelevant
mishamyrt/davinci-pancake-kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
T-head-Semi/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
linuxdeepin/deepin-kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
jlevente/MiamiOSM-buildings,Unrelevant
ArtificialIntelligenceToolkit/aima3,Unrelevant
kdrag0n/proton_kernel_redbull,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
cchalpha/linux-gc,Unrelevant
openil/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
maemo-leste/droid4-linux,Unrelevant
freak07/OP7PRO,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
opencog/loving-ai,Unrelevant
OpenVZ/vzkernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
GrapheneOS/linux-hardened,Unrelevant
GeoscienceAustralia/PF3D,Unrelevant
