Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
houseoflifeproperty/bitpop,https://github.com/houseoflifeproperty/bitpop,False,2014-06-03 09:17:30,[],7,2,5,0,1,C++,1196491,2,1,5,0,14,0,0,0
wenlinyao/EMNLP20-SubeventAcquisition,https://github.com/wenlinyao/EMNLP20-SubeventAcquisition,False,2020-09-29 20:12:11,[],5,1,1,0,1,Python,36465,2,0,1,0,9,0,0,0
koadman/proxigenomics,https://github.com/koadman/proxigenomics,False,2014-01-29 21:31:22,[],5,3,2,1,2,C,56476,27,1,5,1,311,18,0,0
webosose/chromium53,https://github.com/webosose/chromium53,False,2018-03-13 06:22:54,"['webos', 'webosose']",8,8,19,0,27,,1750036,0,0,3,20,124,0,0,0
lvyiwei1/StylePTB,https://github.com/lvyiwei1/StylePTB,False,2021-03-30 00:16:37,[],51,3,4,0,2,Python,12152,0,0,1,0,16,0,0,0
microsoft/text-to-sql-schema-expansion-generalization,https://github.com/microsoft/text-to-sql-schema-expansion-generalization,False,2022-05-23 14:52:52,[],12,6,2,0,4,Python,17568,0,0,1,0,11,0,0,0
proywm/CCProf,https://github.com/proywm/CCProf,False,2017-11-06 17:14:59,"['ccprof', 'cache-conflict', 'cache', 'cache-miss', 'cache-optimization', 'profile-guided-optimization', 'pebs', 'conflict-miss']",23,4,1,0,1,C,128980,2,0,2,0,47,0,0,0
codalab/codabench,https://github.com/codalab/codabench,False,2017-07-27 15:43:10,[],20,9,12,0,16,Python,85154,64,11,15,0,944,3,0,1701
stanfordnlp/wge,https://github.com/stanfordnlp/wge,False,2018-02-20 23:32:48,[],82,13,33,0,2,Python,4271,3,0,3,0,11,0,0,10
laem/trottoirs-de-paris,https://github.com/laem/trottoirs-de-paris,False,2015-03-30 22:05:08,[],12,4,0,0,1,CartoCSS,2897,0,0,2,0,62,0,0,4
