Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
PacktPublishing/Serverless-Analytics-with-Amazon-Athena,https://github.com/PacktPublishing/Serverless-Analytics-with-Amazon-Athena,False,2020-11-03 13:46:53,2020-11-03 13:46:54,2022-10-21 09:29:30,[],15,7,7,0,6,Jupyter Notebook,61861,0,0,1,95,0,0
aws-samples/amazon-sagemaker-visual-transformer,https://github.com/aws-samples/amazon-sagemaker-visual-transformer,False,2020-12-27 04:33:05,2020-12-27 04:33:08,2020-12-28 23:46:56,"['amazon-sagemaker', 'amazon-sagemaker-studio', 'amazon-sagemaker-notebook', 'image-classification', 'pytorch', 'python', 'distributed-training', 'vision-transformer', 'visual-transformer']",16,23,8,0,2,Jupyter Notebook,662,0,0,1,12,0,0
laithalsaadoon/remars2019-revegas-workshop,https://github.com/laithalsaadoon/remars2019-revegas-workshop,False,2019-05-31 23:22:41,2019-05-31 23:22:42,2019-12-02 19:06:39,[],16,5,10,0,1,Jupyter Notebook,7965,0,0,1,10,0,0
awshlabs/reinventGPULab,https://github.com/awshlabs/reinventGPULab,False,2019-11-21 06:39:37,2019-11-21 06:39:32,2020-05-12 08:08:43,[],12,2,6,0,1,Jupyter Notebook,10362,0,0,1,24,0,0
aws-samples/aws-deeplens-reinvent-2019-workshops,https://github.com/aws-samples/aws-deeplens-reinvent-2019-workshops,False,2019-11-11 20:41:05,2019-11-11 20:41:07,2019-12-03 01:46:54,[],21,9,18,0,4,Jupyter Notebook,13459,12,12,1,53,0,0
FabG/ml-aws-specialty-lab,https://github.com/FabG/ml-aws-specialty-lab,False,2020-08-17 12:17:48,2020-08-17 12:34:57,2020-11-13 13:58:30,[],58,2,36,0,1,Jupyter Notebook,448117,0,0,1,69,0,0
PacktPublishing/Machine-Learning-Engineering-with-Python,https://github.com/PacktPublishing/Machine-Learning-Engineering-with-Python,False,2021-01-15 09:03:09,2021-01-15 09:03:11,2022-10-24 14:30:28,[],101,6,65,0,5,Jupyter Notebook,28774,8,7,2,137,0,0
aws-samples/tweet-classification,https://github.com/aws-samples/tweet-classification,False,2022-06-13 13:36:06,2022-06-13 13:36:08,2022-07-05 14:30:14,[],6,4,4,0,2,Jupyter Notebook,207,0,0,1,4,0,0
aws-samples/sagemaker-distributed-training-pytorch-kr,https://github.com/aws-samples/sagemaker-distributed-training-pytorch-kr,False,2021-02-15 00:37:54,2021-02-15 00:37:55,2022-05-19 07:50:38,[],7,10,3,0,2,Jupyter Notebook,9038,0,0,1,19,0,0
awslabs/syne-tune,https://github.com/awslabs/syne-tune,False,2021-10-15 12:54:45,2021-10-15 12:54:46,2022-11-17 12:26:31,"['hyperparameter-optimization', 'machine-learning', 'multi-objective-optimization', 'hyperparameter-tuning', 'bayesian-optimization', 'sagemaker', 'neural-architecture-search']",217,10,27,2,21,Python,7902,432,363,78,325,4,0
